id,question,sql
31,Show each payment with the corresponding user name and product name.,"SELECT pay.payment_id, u.name AS user_name, p.name AS product_name, pay.amount FROM payments pay JOIN orders o ON pay.order_id = o.order_id JOIN users u ON o.user_id = u.user_id JOIN products p ON o.product_id = p.product_id;"
32,Show the total revenue per user.,"SELECT u.user_id, u.name, SUM(o.quantity * p.price) AS total_revenue FROM users u JOIN orders o ON u.user_id = o.user_id JOIN products p ON o.product_id = p.product_id GROUP BY u.user_id, u.name;"
33,Show the total number of orders and total quantity per user.,"SELECT u.user_id, u.name, COUNT(o.order_id) AS num_orders, SUM(o.quantity) AS total_quantity FROM users u JOIN orders o ON u.user_id = o.user_id GROUP BY u.user_id, u.name;"
34,Which users have never placed an order?,"SELECT u.user_id, u.name FROM users u LEFT JOIN orders o ON u.user_id = o.user_id WHERE o.order_id IS NULL;"
35,List all products that have never been ordered.,"SELECT p.product_id, p.name FROM products p LEFT JOIN orders o ON p.product_id = o.product_id WHERE o.order_id IS NULL;"
36,Show users who have placed more than 5 orders.,"SELECT user_id, COUNT(*) AS num_orders FROM orders GROUP BY user_id HAVING COUNT(*) > 5;"
37,Show products whose total ordered quantity is greater than 100.,"SELECT product_id, SUM(quantity) AS total_quantity FROM orders GROUP BY product_id HAVING SUM(quantity) > 100;"
38,Show the 10 most recently created orders.,"SELECT order_id, user_id, product_id, quantity, order_date FROM orders ORDER BY order_date DESC LIMIT 10;"
39,Show the 5 cheapest products.,"SELECT product_id, name, price FROM products ORDER BY price ASC LIMIT 5;"
40,Show the 5 most expensive products.,"SELECT product_id, name, price FROM products ORDER BY price DESC LIMIT 5;"
41,Find users whose name starts with 'A'.,"SELECT user_id, name, email FROM users WHERE name LIKE 'A%';"
42,Find products whose name contains the word 'phone'.,"SELECT product_id, name, price FROM products WHERE name LIKE '%phone%';"
43,Show users who signed up in 2024.,"SELECT user_id, name, email, signup_date FROM users WHERE signup_date >= '2024-01-01' AND signup_date < '2025-01-01';"
44,Show orders placed in the last 30 days.,"SELECT order_id, user_id, product_id, quantity, order_date FROM orders WHERE order_date >= DATE('now', '-30 days');"
45,Show products that have been ordered at least once.,"SELECT product_id, name FROM products WHERE product_id IN (SELECT DISTINCT product_id FROM orders);"
46,Show users who have made at least one payment.,"SELECT user_id, name FROM users WHERE user_id IN (SELECT DISTINCT o.user_id FROM orders o JOIN payments pay ON o.order_id = pay.order_id);"
47,Show the product with the highest revenue.,"SELECT product_id, name, total_revenue FROM (SELECT p.product_id, p.name, SUM(o.quantity * p.price) AS total_revenue FROM orders o JOIN products p ON o.product_id = p.product_id GROUP BY p.product_id, p.name) AS t ORDER BY total_revenue DESC LIMIT 1;"
48,Show the total revenue per country.,"SELECT u.country, SUM(o.quantity * p.price) AS total_revenue FROM users u JOIN orders o ON u.user_id = o.user_id JOIN products p ON o.product_id = p.product_id GROUP BY u.country;"
49,Show the top 3 countries by number of orders.,"SELECT u.country, COUNT(o.order_id) AS num_orders FROM users u JOIN orders o ON u.user_id = o.user_id GROUP BY u.country ORDER BY num_orders DESC LIMIT 3;"
50,Show the average product price per category.,"SELECT category, AVG(price) AS avg_price FROM products GROUP BY category;"
51,Show the number of distinct users who placed orders in 2024.,SELECT COUNT(DISTINCT user_id) AS num_users FROM orders WHERE order_date >= '2024-01-01' AND order_date < '2025-01-01';
52,Show each user and the date of their first order.,"SELECT u.user_id, u.name, MIN(o.order_date) AS first_order_date FROM users u JOIN orders o ON u.user_id = o.user_id GROUP BY u.user_id, u.name;"
53,Show each user and the date of their most recent order.,"SELECT u.user_id, u.name, MAX(o.order_date) AS last_order_date FROM users u JOIN orders o ON u.user_id = o.user_id GROUP BY u.user_id, u.name;"
54,Show the total revenue from cancelled orders.,SELECT SUM(o.quantity * p.price) AS cancelled_revenue FROM orders o JOIN products p ON o.product_id = p.product_id WHERE o.status = 'CANCELLED';
55,Show the number of completed orders per user.,"SELECT user_id, COUNT(*) AS completed_orders FROM orders WHERE status = 'COMPLETED' GROUP BY user_id;"
56,Show the average payment amount per payment method.,"SELECT payment_method, AVG(amount) AS avg_amount FROM payments GROUP BY payment_method;"
57,Show the total amount paid per day.,"SELECT payment_date, SUM(amount) AS total_amount FROM payments GROUP BY payment_date;"
58,Show the largest single payment ever made.,"SELECT payment_id, order_id, amount, payment_method, payment_date FROM payments ORDER BY amount DESC LIMIT 1;"
59,Show users and how many different products they have ordered.,"SELECT u.user_id, u.name, COUNT(DISTINCT o.product_id) AS num_products FROM users u JOIN orders o ON u.user_id = o.user_id GROUP BY u.user_id, u.name;"
60,Show products and how many different users ordered them.,"SELECT p.product_id, p.name, COUNT(DISTINCT o.user_id) AS num_users FROM products p JOIN orders o ON p.product_id = o.product_id GROUP BY p.product_id, p.name;"
61,"Show all orders with their payment status, including orders that have no payment yet.","SELECT o.order_id, o.user_id, o.product_id, o.quantity, o.status, pay.amount, pay.payment_date FROM orders o LEFT JOIN payments pay ON o.order_id = pay.order_id;"
